Nationality,Position,Date of Birth,Height,Name,Apps,Goals,Goals per Game,Shots,Shots on Target,Shot Acc.,Assists,Passes,Passes per Game,Chances Created,Crosses,Cross Acc.,Yellow Cards,Red Cards,Fouls,Offsides,Tackles,Successful Tackles,Blocked Shots,Interceptions,Clearances,Duels Won,Duels Lost,Aerials Won,Aerials Lost,50/50 Tackle Wins
England,Defender,17/01/2001 (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Defender,15/12/1992 (28),181cm,Alex Telles,5,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,07/10/1998 (22),175cm,Trent Alexander-Arnold,106,6,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,22/08/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Macedonia,Midfielder,12/02/1992 (28),173cm,Ezgjan Alioski,13,1,0.08,10,4,40%,0,485,37.31,3,25,20%,1,0,10,3,24,54%,3,9,13,54,44,10,12,4
Brazil,Goalkeeper,02/10/1992 (28),191cm,Alisson,79,0,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Midfielder,08/01/1991 (29),173cm,Allan,12,0,12,4,1,25%,0,538,44.83,0,2,2%,4,0,21,0,41,56%,1,13,10,80,72,1,4,20
England,Midfielder,11/04/1996 (24),188cm,Dele Alli,160,50,0.31,320,128,40%,33,"5,543",34.64,44,76,12%,24,0,178,31,238,65%,82,127,99,820,"1,079",121,184,183
Paraguay,Midfielder,10/02/1994 (26),174cm,Miguel Almirón,59,5,0.08,84,30,36%,3,"1,346",22.81,4,79,23%,6,0,41,29,101,59%,28,50,27,263,250,12,39,64
Spain,Defender,28/12/1990 (30),188cm,Marcos Alonso,141,20,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Midfielder,08/09/1998 (22),180cm,Steven Alzate,27,0,27,16,4,25%,0,871,32.26,1,9,,,,,,,,,,,,,,,
Ghana,Defender,21/12/1994 (26),186cm,Daniel Amartey,50,1,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,23/02/1997,179cm,Luke Amos,1,0,1,0,0,0%,0,3,3,0,0,0%,0,0,0,0,1,1%,0,0,0,2,1,1,1,0
Wales,Defender,14/09/2000 (20),183cm,Ethan Ampadu,10,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Goalkeeper,08/06/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Defender,31/05/1996 (24),192cm,Joachim Andersen,9,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,06/11/2002 (18),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Forward,11/04/1993 (27),180cm,Florin Andone,26,4,0.15,20,9,45%,0,177,6.81,0,5,,,,,,,,,,,,,,,
Portugal,Midfielder,30/07/1993 (27),188cm,André Gomes,56,1,0.02,29,5,17%,2,"2,351",41.98,2,36,19%,15,0,103,2,73,59%,6,28,27,256,379,62,46,76
Brazil,Midfielder,01/01/1996,178cm,Andreas Pereira,45,2,0.04,45,16,36%,4,"1,111",24.69,8,88,19%,10,0,42,4,34,62%,14,20,12,101,213,13,49,32
Spain,Defender,04/01/1997,170cm,Angeliño,6,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,23/11/2001 (19),185cm,Faustino Anjorin,1,0,1,1,0,1%,0,7,7,0,0,0%,0,0,0,0,0,0%,0,0,0,2,2,0,0,1
England,Forward,28/03/1990 (30),180cm,Michail Antonio,140,39,0.28,316,123,39%,14,"2,764",19.74,21,323,21%,15,1,160,66,122,71%,73,126,124,967,"1,114",330,432,310
England,Forward,09/12/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Goalkeeper,27/02/1993 (27),195cm,Alphonse Areola,14,0,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Midfielder,30/03/1992 (28),183cm,Stuart Armstrong,71,10,0.14,94,35,37%,7,"1,635",23.03,3,61,20%,6,0,63,8,87,66%,26,34,41,232,320,34,60,65
Spain,Goalkeeper,03/10/1994 (26),189cm,Kepa Arrizabalaga,72,0,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Midfielder,28/12/1989,176cm,Harry Arter,94,3,0.03,124,24,19%,5,"4,282",45.55,4,50,28%,32,1,91,2,221,73%,39,103,65,390,368,25,29,54
Scotland,Defender,14/11/2001 (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Goalkeeper,25/03/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,Midfielder,10/01/1992 (28),165cm,Christian Atsu,80,3,0.04,72,28,39%,6,"1,096",13.7,12,117,19%,5,0,34,14,52,77%,17,26,41,217,380,32,142,73
Gabon,Forward,18/06/1989 (31),187cm,Pierre-Emerick Aubameyang,98,57,0.58,243,113,47%,13,"2,129",21.72,18,171,,,,,,,,,,,,,,,
Cote D'Ivoire,Defender,24/12/1992 (28),176cm,Serge Aurier,66,4,,,,,,,,,,,,,,,,,,,,,,,,
England,Goalkeeper,08/01/1999 (21),188cm,Brandon Austin,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,Forward,12/08/1997,185cm,Taiwo Awoniyi,0,0,0,0,0,0%,0,0,0,0,0,,,,,,,,,,,,,,,
Ghana,Forward,11/09/1991 (29),182cm,Jordan Ayew,149,26,0.17,231,81,35%,9,"3,141",21.08,12,152,,,,,,,,,,,,,,,
England,Defender,25/08/1991 (29),185cm,Luke Ayling,15,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,07/09/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,20/09/2002 (18),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Defender,28/08/1989 (31),178cm,César Azpilicueta,278,8,,,,,,,,,,,,,,,,,,,,,,,,
Cote D'Ivoire,Defender,12/04/1994 (26),187cm,Eric Bailly,57,1,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,11/12/1984,170cm,Leighton Baines,420,32,,,,,,,,,,,,,,,,,,,,,,,,
France,Midfielder,17/08/1994,185cm,Tiemoué Bakayoko,29,2,0.07,40,9,23%,2,"1,108",38.21,1,5,20%,3,1,50,2,64,64%,17,37,36,164,155,40,36,36
England,Midfielder,25/04/1995,182cm,Lewis Baker,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0,0,0
Paraguay,Defender,23/08/1991 (29),188cm,Fabián Balbuena,52,3,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,09/03/1993 (27),178cm,George Baldock,53,2,,,,,,,,,,,,,,,,,,,,,,,,
Wales,Forward,16/07/1989 (31),185cm,Gareth Bale,150,43,0.29,442,163,37%,20,"4,714",31.43,33,"1,028",,,,,,,,,,,,,,,
Northern Ireland,Defender,22/09/1999,187cm,Danny Ballard,0,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Forward,03/07/2001 (19),178cm,Folarin Balogun,0,0,0,0,0,0%,0,0,0,0,0,,,,,,,,,,,,,,,
Romania,Defender,27/03/1999,191cm,Tudor Baluta,0,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Forward,05/09/1993 (27),185cm,Patrick Bamford,42,11,0.26,71,32,45%,1,371,8.83,0,9,,,,,,,,,,,,,,,
The Democratic Republic Of Congo,Midfielder,09/09/1998 (22),178cm,Beni Baningime,8,0,8,0,0,0%,0,82,10.25,0,0,0%,1,0,4,0,6,33%,0,2,1,9,14,1,2,1
Scotland,Defender,28/06/1985 (35),180cm,Phil Bardsley,302,7,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,05/12/1993 (27),189cm,Ross Barkley,208,27,0.13,428,124,29%,28,"7,876",37.87,34,343,24%,18,0,160,20,174,72%,152,79,110,996,"1,080",176,175,387
England,Midfielder,18/01/1997,184cm,Daniel Barlaser,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0,0,0
England,Forward,30/10/1989 (31),186cm,Ashley Barnes,166,39,0.23,295,111,38%,6,"2,628",15.83,11,69,,,,,,,,,,,,,,,
England,Midfielder,23/02/1981,185cm,Gareth Barry,653,53,0.08,320,112,35%,64,"20,616",31.57,18,906,28%,123,6,633,45,"1,028",77%,82,629,876,"2,107","1,983",447,353,205
England,Defender,22/05/1991 (29),185cm,Kyle Bartley,29,1,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,20/07/1988 (32),190cm,Chris Basham,74,1,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,29/10/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Forward,02/10/1993 (27),184cm,Michy Batshuayi,69,13,0.19,79,28,35%,4,501,7.26,1,7,,,,,,,,,,,,,,,
England,Goalkeeper,08/11/1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,15/09/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Defender,12/04/1996 (24),189cm,Jan Bednarek,79,3,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Defender,19/03/1995 (25),178cm,Héctor Bellerín,171,7,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Defender,13/07/1997,194cm,Filip Benkovic,0,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,06/03/1990,188cm,Ryan Bennett,111,3,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Forward,10/08/1995 (25),172cm,Saïd Benrahma,7,0,7,11,4,36%,2,86,12.29,0,6,,,,,,,,,,,,,,,
England,Midfielder,05/12/1999 (21),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Midfielder,24/11/1994,187cm,Nabil Bentaleb,58,0,58,49,9,18%,3,"2,767",47.71,4,17,24%,13,0,67,0,123,72%,12,112,72,258,215,65,41,42
Belgium,Forward,03/12/1990 (30),190cm,Christian Benteke,236,75,0.32,566,218,39%,20,"5,802",24.58,31,36,,,,,,,,,,,,,,,
Switzerland,Defender,21/08/1988,179cm,Gaetano Berardi,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Norway,Midfielder,14/02/1998 (22),195cm,Sander Berge,27,2,0.07,15,4,27%,2,770,28.52,3,43,9%,4,0,30,3,38,58%,4,14,31,131,105,51,30,34
Netherlands,Forward,08/10/1997 (23),178cm,Steven Bergwijn,24,3,0.12,15,5,33%,1,420,17.5,1,16,,,,,,,,,,,,,,,
Spain,Midfielder,26/05/2001 (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Forward,08/09/1992 (28),166cm,Bernard,66,5,0.08,38,11,29%,5,"1,466",22.21,7,92,,,,,,,,,,,,,,,
Brazil,Defender,14/05/1995 (25),186cm,Bernardo,37,0,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Midfielder,20/09/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Midfielder,10/08/1994 (26),173cm,Bernardo Silva,113,19,0.17,144,53,37%,18,"4,380",38.76,22,202,19%,8,0,68,4,123,63%,50,63,49,364,410,35,77,128
England,Defender,05/08/1989 (31),179cm,Ryan Bertrand,243,7,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia And Herzegovina,Midfielder,10/09/1992 (28),180cm,Muhamed Besic,46,0,46,26,7,27%,0,"1,339",29.11,2,18,22%,11,0,42,0,93,76%,7,34,56,186,165,21,16,53
England,Goalkeeper,24/05/1992,194cm,Marcus Bettinelli,7,0,,,,,,,,,,,,,,,,,,,,,,,,
Mali,Midfielder,30/08/1996 (24),182cm,Yves Bissouma,64,2,0.03,66,12,18%,0,"2,031",31.73,1,17,18%,13,1,95,2,156,62%,18,67,71,374,330,62,62,102
England,Defender,27/07/2000 (20),178cm,Jayden Bogle,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Midfielder,22/08/2001,175cm,Mateusz Bogusz,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0,0,0
England,Defender,04/01/1999,188cm,Tolaji Bola,0,0,,,,,,,,,,,,,,,,,,,,,,,,
The Democratic Republic Of Congo,Forward,24/05/1989 (31),188cm,Yannick Bolasie,119,11,0.09,219,72,33%,17,"2,124",17.85,25,595,,,,,,,,,,,,,,,
Cote D'Ivoire,Defender,03/02/1991 (29),195cm,Willy Boly,70,4,,,,,,,,,,,,,,,,,,,,,,,,
England,Goalkeeper,19/05/1993 (27),196cm,Jonathan Bond,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,Midfielder,17/09/1993,170cm,Sofiane Boufal,70,3,0.04,73,20,27%,4,"1,328",18.97,9,101,16%,8,0,77,5,91,63%,28,15,9,371,410,23,37,187
England,Midfielder,09/07/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Forward,20/12/1996 (24),175cm,Jarrod Bowen,35,5,0.14,60,13,22%,6,602,17.2,7,123,,,,,,,,,,,,,,,
Wales,Defender,22/04/2001,177cm,Morgan Boyes,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Midfielder,14/01/1992 (28),176cm,Robbie Brady,150,10,0.07,160,45,28%,12,"3,431",22.87,24,743,26%,17,1,124,14,254,73%,55,141,223,629,614,144,121,135
England,Defender,27/06/2002 (18),195cm,Jarrad Branthwaite,4,0,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Goalkeeper,13/04/1983,184cm,Claudio Bravo,29,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,11/12/1997,172cm,James Bree,0,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Forward,01/04/2000 (20),180cm,Rhian Brewster,11,0,11,6,2,33%,0,88,8,2,2,,,,,,,,,,,,,,,
England,Midfielder,30/09/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Forward,10/09/2001,191cm,Armando Broja,1,0,1,0,0,0%,0,1,1,0,0,,,,,,,,,,,,,,,
England,Midfielder,19/12/1995 (25),180cm,Josh Brownhill,23,0,23,20,1,5%,0,850,36.96,0,6,33%,3,0,23,0,40,58%,7,51,34,124,94,53,39,16
Portugal,Midfielder,08/09/1994 (26),179cm,Bruno Fernandes,28,18,0.64,87,37,43%,13,"1,544",55.14,13,140,24%,5,0,27,4,49,61%,20,21,26,114,166,8,31,23
Portugal,Midfielder,12/10/1998,180cm,Bruno Jordão,1,0,1,0,0,0%,0,6,6,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0,0,0
England,Midfielder,17/11/2001 (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,17/09/1993 (27),173cm,Joe Bryan,36,0,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Midfielder,07/04/1997 (23),188cm,Oliver Burke,24,0,24,13,3,23%,3,251,10.46,4,11,18%,1,0,16,2,14,50%,5,8,4,60,107,19,36,18
England,Defender,09/05/1992 (28),198cm,Dan Burn,51,0,,,,,,,,,,,,,,,,,,,,,,,,
Wales,Midfielder,26/12/1999,176cm,Robbie Burton,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0,0,0
England,Goalkeeper,10/03/1993 (27),196cm,Jack Butland,77,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Goalkeeper,27/02/1989 (31),191cm,David Button,4,0,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Defender,31/03/1998 (22),178cm,Oskar Buur,1,0,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Goalkeeper,28/09/1981 (39),186cm,Willy Caballero,34,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,19/12/1985 (35),193cm,Gary Cahill,379,27,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,02/09/2001 (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Midfielder,20/01/1991 (29),186cm,Tom Cairney,52,3,0.06,45,12,27%,2,"2,401",46.17,5,91,26%,3,0,24,1,65,58%,14,32,23,230,166,23,27,70
England,Forward,16/03/1997 (23),187cm,Dominic Calvert-Lewin,129,35,0.27,230,96,42%,9,"1,862",14.43,9,51,,,,,,,,,,,,,,,
Ecuador,Forward,24/07/2000 (20),187cm,Leonardo Campana,0,0,0,0,0,0%,0,0,0,0,0,,,,,,,,,,,,,,,
Wales,Midfielder,30/12/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Goalkeeper,25/08/2001 (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Forward,25/03/1995 (25),190cm,Carlos Vinicius,1,0,1,2,1,50%,0,1,1,0,0,,,,,,,,,,,,,,,
Argentina,Forward,25/05/1991,191cm,Guido Carrillo,7,0,7,11,4,36%,1,123,17.57,0,0,,,,,,,,,,,,,,,
England,Forward,06/01/1989 (31),193cm,Andy Carroll,238,53,0.22,537,172,32%,22,"4,752",19.97,28,114,,,,,,,,,,,,,,,
England,Goalkeeper,03/09/1985 (35),190cm,Scott Carson,145,0,,,,,,,,,,,,,,,,,,,,,,,,
United States,Defender,31/12/1997,183cm,Cameron Carter-Vickers,0,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,30/08/2002 (18),,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,14/10/2000 (20),,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,07/08/1997 (23),185cm,Matthew Cash,13,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,27/02/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Defender,05/12/1995 (25),185cm,Timothy Castagne,8,1,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,Forward,14/02/1987 (33),184cm,Edinson Cavani,8,3,0.38,11,5,45%,2,55,6.88,2,3,,,,,,,,,,,,,,,
Spain,Midfielder,07/08/1996 (24),179cm,Dani Ceballos,37,0,37,19,3,16%,3,"1,912",51.68,3,83,17%,3,0,30,0,66,53%,7,49,19,173,171,13,32,44
Portugal,Defender,31/08/1991 (29),172cm,Cédric Soares,126,2,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,20/01/1995 (25),182cm,Calum Chambers,139,6,,,,,,,,,,,,,,,,,,,,,,,,
Wales,Defender,23/01/1989,180cm,James Chester,60,3,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,21/12/1996 (24),178cm,Ben Chilwell,112,6,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Midfielder,04/12/1999,185cm,Tahith Chong,5,0,5,3,1,33%,0,29,5.8,0,0,,,,,,,,,,,,,,,
England,Midfielder,01/10/1997 (23),178cm,Hamza Choudhury,40,1,0.02,13,4,31%,2,971,24.28,2,8,13%,4,1,27,0,52,46%,6,47,29,92,99,21,17,5
Denmark,Defender,10/04/1996 (24),188cm,Andreas Christensen,62,0,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Defender,30/09/1992,188cm,Cyrus Christie,28,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,06/04/2002 (18),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Defender,26/09/1989 (31),185cm,Ciaran Clark,185,15,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,22/09/1996,185cm,Matthew Clarke,0,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,22/09/1997,188cm,Jake Clarke-Salter,1,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,19/10/2001 (19),175cm,Leighton Clarkson,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0,0,0
Scotland,Defender,16/12/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,05/04/1991 (29),175cm,Nathaniel Clyne,194,4,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,25/02/1993 (27),185cm,Conor Coady,91,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,21/04/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Defender,11/10/1988 (32),177cm,Séamus Coleman,282,20,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Forward,28/01/2000 (20),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Defender,30/08/1991 (29),180cm,Liam Cooper,13,1,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Forward,17/05/2002 (18),,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,25/06/1989 (31),183cm,Jack Cork,264,8,0.03,137,42,31%,9,"11,059",41.89,11,151,17%,32,0,211,13,466,71%,43,400,477,"1,312","1,335",393,479,184
England,Midfielder,31/10/2001 (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Defender,22/08/1992 (28),179cm,Vladimir Coufal,12,0,,,,,,,,,,,,,,,,,,,,,,,,
Mali,Midfielder,25/12/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Midfielder,25/03/2000 (20),177cm,Conor Coventry,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0,0,0
England,Defender,07/12/2002 (18),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Midfielder,07/04/1996,175cm,Josh Cullen,3,0,3,0,0,0%,0,4,1.33,0,0,0%,0,0,0,0,0,0%,0,2,1,0,1,0,0,0
England,Goalkeeper,04/09/1999,186cm,Jamie Cumming,0,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,26/04/2002 (18),,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,02/04/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,Midfielder,19/04/1991 (29),183cm,Stuart Dallas,15,3,0.2,19,9,47%,0,814,54.27,2,29,14%,3,0,12,0,42,62%,5,22,19,83,75,15,21,10
Portugal,Midfielder,21/10/1995 (25),165cm,Daniel Podence,23,4,0.17,35,16,46%,2,486,21.13,4,26,15%,2,0,13,5,11,64%,11,12,2,81,71,5,16,41
England,Defender,14/02/1987 (33),188cm,Scott Dann,234,16,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Defender,19/09/1998,190cm,Kevin Danso,6,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Goalkeeper,08/10/1990 (30),190cm,Karl Darlow,33,0,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Defender,22/04/1987 (33),189cm,David Luiz,201,13,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,30/06/1998 (22),180cm,Tom Davies,113,5,0.04,60,15,25%,4,"3,083",27.28,6,45,22%,22,0,122,9,140,61%,25,110,63,438,507,75,123,80
England,Forward,13/02/1998 (22),191cm,Keinan Davis,20,0,20,17,5,29%,0,153,7.65,0,4,,,,,,,,,,,,,,,
England,Defender,06/05/1990 (30),188cm,Craig Dawson,182,14,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Defender,07/11/1992,179cm,Laurens De Bock,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Midfielder,28/06/1991 (29),181cm,Kevin De Bruyne,168,38,0.23,407,142,35%,73,"8,992",53.52,108,"1,186",26%,15,0,132,17,229,67%,112,91,63,686,823,65,105,242
Jamaica,Forward,02/02/1993 (27),170cm,Bobby De Cordova-Reid,41,9,0.22,41,16,39%,2,603,14.71,1,20,,,,,,,,,,,,,,,
Spain,Goalkeeper,07/11/1990 (30),192cm,David de Gea,325,0,,,,,,,,,,,,,,,,,,,,,,,,
United States,Midfielder,23/05/1998,178cm,Luca de la Torre,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0,0,0
England,Forward,08/02/2003 (17),,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,21/11/1989 (31),174cm,Fabian Delph,190,7,0.04,145,36,25%,8,"9,039",47.57,7,201,26%,29,3,142,1,398,70%,36,286,220,999,712,130,165,263
Belgium,Midfielder,03/04/2001 (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,06/09/1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,Forward,18/10/1995,175cm,Fousseni Diabaté,15,0,15,6,2,33%,1,241,16.07,0,12,,,,,,,,,,,,,,,
France,Midfielder,08/03/1999 (21),179cm,Ibrahima Diallo,7,0,7,0,0,0%,0,73,10.43,0,2,2%,1,0,5,0,5,40%,0,3,1,9,12,0,2,3
England,Midfielder,19/04/1998 (22),180cm,Grady Diangana,30,1,0.03,21,6,29%,1,500,16.67,3,27,22%,0,0,13,5,50,50%,6,13,10,153,168,27,42,42
England,Midfielder,15/01/1994 (26),188cm,Eric Dier,188,10,0.05,121,29,24%,8,"10,366",55.14,11,122,19%,34,0,170,6,291,73%,33,266,591,863,736,451,330,53
France,Defender,20/07/1993 (27),178cm,Lucas Digne,78,4,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Defender,18/03/1999,183cm,Diogo Dalot,20,0,,,,,,,,,,,,,,,,,,,,,,,,
